Location,Wind Direction,Minimum Temperature,Datetime,Precipitation,Dew Point,Relative Humidity,Precipitation Cover,Temperature,Maximum Temperature,Visibility,Wind Speed,Heat Index,Weather Type,Pressure,Conditions
"Pune, MH, India",80,57.3,01/01/2010,0,58.7,71.5,0,69.5,83,3.9,2.2,83.3,Smoke Or Haze,1012.7,Clear
"Pune, MH, India",102.5,61.4,01/02/2010,0,61.7,69.91,4,72.7,83.6,3.7,5.8,84.7,"Sky Coverage Increasing, Smoke Or Haze",1013.9,Clear
"Pune, MH, India",180,68.6,01/03/2010,0,65.9,76.69,4,74.4,84.5,2.5,2.2,85.5,"Sky Coverage Increasing, Smoke Or Haze",1014.1,Clear
"Pune, MH, India",230,65.6,01/04/2010,0,63.8,76.15,0,72.8,84.8,3.3,2.2,84.8,Smoke Or Haze,1013.1,Clear
"Pune, MH, India",90,60.2,01/05/2010,0,61.2,77.94,0,69.4,82.7,3.7,3.4,83,Smoke Or Haze,1011.8,Clear
"Pune, MH, India",80,58.7,01/06/2010,0,58.8,76.08,0,67.6,80.7,3.3,4.7,81.3,Smoke Or Haze,1011.8,Clear
"Pune, MH, India",83.33,55.7,01/07/2010,0,55.3,70.29,0,66.7,79.8,3.7,4.7,,Smoke Or Haze,1012.9,Clear
"Pune, MH, India",90,54.2,01/08/2010,0,53.6,69.46,0,65.9,80,3.9,2.2,,Smoke Or Haze,1014,Clear
"Pune, MH, India",85,60.2,01/09/2010,0,54.7,67.22,0,67.6,80.3,3.7,3.4,79.8,Smoke Or Haze,1013.3,Clear
"Pune, MH, India",90,54.2,01/10/2010,0,58.5,75.87,0,67.5,82.5,3.7,4.7,83.3,Smoke Or Haze,1013.4,Clear
"Pune, MH, India",180,60.9,01/11/2010,0,62.9,74.99,0,72.2,85.4,3.3,3.4,87.6,Smoke Or Haze,1013.2,Clear
"Pune, MH, India",247.5,67.4,01/12/2010,0,63.4,72.49,0,73.7,83.9,3.7,3.4,84.2,Smoke Or Haze,1013.6,Clear
"Pune, MH, India",234,59.1,01/13/2010,0,56.7,66.64,0,68.8,82.5,4.1,4.7,81.6,Smoke Or Haze,1015.7,Clear
"Pune, MH, India",80,56.6,01/14/2010,0,54.1,66.76,0,67,81.8,3.7,4.7,81.1,Smoke Or Haze,1017.3,Clear
"Pune, MH, India",102.5,57.3,01/15/2010,0,61.1,80.9,0,67.6,79.4,3.7,4.7,,Smoke Or Haze,1018.2,Clear
"Pune, MH, India",90,62.3,01/16/2010,0,60.7,75.94,0,70.1,83.6,3.3,2.2,82.9,Smoke Or Haze,1018.9,Clear
"Pune, MH, India",270,57.8,01/17/2010,0,53.9,68.52,0,67.4,84.5,3.7,2.2,82.8,Smoke Or Haze,1017.2,Clear
"Pune, MH, India",102.5,54.2,01/18/2010,0,53.6,67.73,0,66.3,82.7,3.7,4.7,81.7,Smoke Or Haze,1017.4,Clear
"Pune, MH, India",110,55.7,01/19/2010,0,52.7,67.63,0,66.6,81.2,3.3,4.7,80.8,Smoke Or Haze,1015.8,Clear
"Pune, MH, India",80,56.6,01/20/2010,0,55,67.49,0,67.9,82.7,3.7,2.2,81.7,Smoke Or Haze,1016.1,Clear
"Pune, MH, India",90,55.7,01/21/2010,0,51.9,66.1,0,66.5,82.5,3.7,3.4,80.8,Smoke Or Haze,1016.1,Clear
"Pune, MH, India",182.5,50.6,01/22/2010,0,49.3,65.3,0,64.2,82.1,3.3,5.8,80.3,Smoke Or Haze,1015.8,Clear
"Pune, MH, India",158,50.1,01/23/2010,0,47,62.55,0,63.5,81.2,3.3,4.7,79.6,Smoke Or Haze,1015.6,Clear
"Pune, MH, India",150,50.6,01/24/2010,0,49.8,63.21,0,65.1,82.1,3.7,2.2,80.6,Smoke Or Haze,1013.8,Clear
"Pune, MH, India",76.67,53,01/25/2010,0,51.7,68.28,0,64.9,81.2,3.7,3.4,80,Smoke Or Haze,1014.4,Clear
"Pune, MH, India",90,52.4,01/26/2010,0,52.1,65.68,0,65.6,81.2,3.3,3.4,80.6,Smoke Or Haze,1015.2,Clear
"Pune, MH, India",90,54.2,01/27/2010,0,51.7,63.99,0,66.3,80.9,3.3,2.2,79.8,Smoke Or Haze,1015.6,Clear
"Pune, MH, India",100,53.9,01/28/2010,0,52.2,64.89,0,66.2,82.1,3.7,2.2,80.7,Smoke Or Haze,1015.5,Clear
"Pune, MH, India",100,54.2,01/29/2010,0,54.4,68.29,0,67.2,83.6,3.7,3.4,82.1,Smoke Or Haze,1015.6,Clear
